Plant_ID,Beetle_ID,Species,Sex,Chamber_Num,Location_Name,Plant_Height_End1,Plant_Heigh_End2,Dead_Leaves_YN,Num_Aphids_DayTen,Aphid_Drop_DayTen,Notes,Date_Exp_Comp,Time_Exp_Start,Plant_Height_Start1,Plant_Height_Start2,Time_Exp_Comp,Num_Aphids_Innoc,Trial,Light,Temp,Treatment,Date_Exp_Start,Date_Exp_Five,HOBO Placement Time,HOBO Placement Date,Aphid_Drop_DayFive,Num_Aphids_DayFive
2,55,CMAC,,4,ThalerLower,24,17,N,250,2,NA,5/29/2019,1215,10,7,1527,60,1,16,15,1,5/19/2019,5/24/2019,1215,5/19/2019,1,45
1,56,CMAC,F,1,Guterman56,18,17,Y,0,0,FLIES,6/10/2019,1959,13,12,1230,60,2,16,25,2,6/15/2019,6/20/2019,1650,6/11/2019,2,4
3,57,CMAC,F,1,Guterman56,29,26,N,10,3,NA,5/29/2019,144,15,12,1008,60,1,24,25,4,5/19/2019,5/24/2019,144,5/19/2019,3,31
1,57,CMAC,F,7,ThalerWhiteFar,29,32,Y,140,5,FLIES,6/10/2019,1746,13,14,1627,60,2,24,25,2,6/15/2019,6/20/2019,1625,6/11/2019,5,120
2,59,CMAC,M,5,ThalerRoomRight,18,14,Y,360,100,eggs,6/10/2019,1916,16,18,1930,60,2,24,25,4,6/15/2019,6/20/2019,1625,6/11/2019,11,180
1,60,CMAC,,8,ThalerWhiteNear,31,30,N,15,4,NA,5/29/2019,1230,12,10,1353,60,1,16,25,2,5/19/2019,5/24/2019,1230,5/19/2019,2,67
1,61,CMAC,M,7,ThalerWhiteFar,26,24,N,300,8,NA,5/29/2019,1230,8,9,1426,60,1,16,15,1,5/19/2019,5/24/2019,1230,5/19/2019,5,200
1,61,CMAC,M,6,ThalerUpper,17,19,N,550,8,NA,6/10/2019,1621,14,12,1830,60,2,24,15,3,6/15/2019,6/20/2019,1626,6/11/2019,3,240
2,62,CMAC,M,8,ThalerWhiteNear,30,28,N,50,5,FLIES,5/29/2019,1230,11,5,1353,60,1,16,25,2,5/19/2019,5/24/2019,1230,5/19/2019,4,200
3,62,CMAC,M,6,ThalerUpper,16,20,N,450,9,NA,6/10/2019,1621,17,18,1830,60,2,24,15,3,6/15/2019,6/20/2019,1626,6/11/2019,2,90
3,64,CMAC,,5,ThalerRoomRight,22,15,N,250,39,FLIES,5/29/2019,1241,10,8,1252,60,1,16,25,2,5/19/2019,5/24/2019,1241,5/19/2019,5,175
1,66,CMAC,M,2,Guterman57,26,32,N,500,10,NA,5/29/2019,157,15,12,913,60,1,24,15,3,5/19/2019,5/24/2019,157,5/19/2019,0,140
2,66,CMAC,M,2,Guterman57,20,29,N,530,4,NA,6/10/2019,2015,6,15,1330,60,2,16,15,1,6/15/2019,6/20/2019,1650,6/11/2019,2,340
3,67,CMAC,F,9,ThalerRoomLeft,30,25,Y,0,0,eggs,6/10/2019,1940,20,19,1900,60,2,16,25,4,6/15/2019,6/20/2019,1625,6/11/2019,0,1
3,70,CMAC,,8,ThalerWhiteNear,31,32,N,0,0,FLIES,5/29/2019,1230,15,14,1353,60,1,16,25,2,5/19/2019,5/24/2019,1230,5/19/2019,0,3
2,71,CMAC,F,7,ThalerWhiteFar,33,33,Y,0,0,eggs; FLIES,6/10/2019,1746,14,16,1627,60,2,24,25,2,6/15/2019,6/20/2019,1625,6/11/2019,0,40
2,72,CMAC,M,6,ThalerUpper,29,23,N,350,1,NA,6/10/2019,1621,17,17,1830,60,2,24,15,3,6/15/2019,6/20/2019,1626,6/11/2019,1,60
2,73,CMAC,F,6,ThalerUpper,26,33,N,320,1,NA,5/29/2019,1204,18,18,1606,60,1,24,15,3,5/19/2019,5/24/2019,1204,5/19/2019,2,350
3,73,CMAC,F,7,ThalerWhiteFar,30,30,Y,130,5,FLIES,6/10/2019,1746,17,20,1627,60,2,24,25,2,6/15/2019,6/20/2019,1625,6/11/2019,6,120
3,74,CMAC,F,7,ThalerWhiteFar,26,22,N,80,7,EGGS DAY TEN,5/29/2019,1230,9,11,1426,60,1,16,15,1,5/19/2019,5/24/2019,1230,5/19/2019,0,60
3,74,CMAC,F,2,Guterman57,29,25,N,300,12,EGGS,6/10/2019,2015,16,14,1330,60,2,16,15,1,6/15/2019,6/20/2019,1650,6/11/2019,12,130
2,75,CMAC,F,7,ThalerWhiteFar,24,32,N,40,0,EGGS DAY TEN,5/29/2019,1230,12,16,1426,60,1,16,15,1,5/19/2019,5/24/2019,1230,5/19/2019,2,20
2,75,CMAC,F,1,Guterman56,16,14,Y,0,0,PRED DIED; FLIES,6/10/2019,1959,14,14,1230,60,2,16,25,2,6/15/2019,6/20/2019,1650,6/11/2019,0,0
3,76,CMAC,F,1,Guterman56,26,25,Y,0,0,EGGS; FLIES,6/10/2019,1959,16,18,1230,60,2,16,25,2,6/15/2019,6/20/2019,1650,6/11/2019,12,13
2,77,CMAC,,1,Guterman56,24,30,N,0,0,NA,5/29/2019,144,11,14,1008,60,1,24,25,4,5/19/2019,5/24/2019,144,5/19/2019,0,1
3,78,CMAC,F,5,ThalerRoomRight,13,28,Y,400,100,eggs,6/10/2019,1916,12,22,1930,60,2,24,25,4,6/15/2019,6/20/2019,1625,6/11/2019,11,250
3,79,CMAC,M,4,ThalerLower,26,33,N,180,0,NA,5/29/2019,1215,14,11,1527,60,1,16,15,1,5/19/2019,5/24/2019,1215,5/19/2019,1,90
2,79,CMAC,M,9,ThalerRoomLeft,30,30,Y,150,45,NA,6/10/2019,1940,18,19,1900,60,2,16,25,4,6/15/2019,6/20/2019,1625,6/11/2019,11,80
6,100,C7,,8,ThalerWhiteNear,31,20,Y,0,0,FLIES,5/29/2019,1230,9,4,1353,60,1,16,25,2,5/19/2019,5/24/2019,1230,5/19/2019,0,0
5,104,C7,M,9,ThalerRoomLeft,31,25,Y,120,21,NA,6/10/2019,1940,15,17,1900,60,2,16,25,4,6/15/2019,6/20/2019,1625,6/11/2019,12,100
4,110,C7,M,1,Guterman56,20,21,Y,0,0,PRED DIED; FLIES,6/10/2019,1959,21,20,1230,60,2,16,25,2,6/15/2019,6/20/2019,1650,6/11/2019,5,5
6,112,C7,M,7,ThalerWhiteFar,30,27,Y,0,0,PRED DIED; FLIES,6/10/2019,1746,11,8,1627,60,2,24,25,2,6/15/2019,6/20/2019,1625,6/11/2019,2,2
6,113,C7,M,8,ThalerWhiteNear,17,28,N,250,31,NA,6/10/2019,1717,14,18,1730,60,2,16,15,1,6/15/2019,6/20/2019,1625,6/11/2019,4,90
5,125,C7,M,1,Guterman56,27,23,N,7,0,PRED DIED; FLIES,6/10/2019,1959,20,17,1230,60,2,16,25,2,6/15/2019,6/20/2019,1650,6/11/2019,24,45
5,127,C7,M,8,ThalerWhiteNear,33,33,N,270,1,NA,6/10/2019,1717,21,23,1730,60,2,16,15,1,6/15/2019,6/20/2019,1625,6/11/2019,1,110
5,129,C7,M,5,ThalerRoomRight,19,19,Y,250,50,NA,6/10/2019,1916,12,17,1930,60,2,24,25,4,6/15/2019,6/20/2019,1625,6/11/2019,5,110
5,130,C7,M,7,ThalerWhiteFar,32,32,Y,3,1,FLIES,6/10/2019,1746,20,17,1627,60,2,24,25,2,6/15/2019,6/20/2019,1625,6/11/2019,0,0
5,131,C7,F,6,ThalerUpper,19,23,N,400,15,NA,6/10/2019,1621,7,12,1830,60,2,24,15,3,6/15/2019,6/20/2019,1626,6/11/2019,5,180
4,135,C7,F,7,ThalerWhiteFar,32,32,Y,0,0,PRED DIED; FLIES,6/10/2019,1746,14,19,1627,60,2,24,25,2,6/15/2019,6/20/2019,1625,6/11/2019,5,110
6,147,C7,M,4,ThalerLower,29,18,N,400,1,PRED DIED,6/10/2019,1643,20,14,1800,60,2,24,15,3,6/15/2019,6/20/2019,1626,6/11/2019,0,170
4,148,C7,M,6,ThalerUpper,31,23,N,150,1,NA,6/10/2019,1621,9,20,1830,60,2,24,15,3,6/15/2019,6/20/2019,1626,6/11/2019,7,160
5,156,C7,M,2,Guterman57,22,26,N,400,5,NA,6/10/2019,2015,12,17,1330,60,2,16,15,1,6/15/2019,6/20/2019,1650,6/11/2019,1,150
4,163,C7,F,4,ThalerLower,23,22,N,420,1,NA,6/10/2019,1643,9,12,1800,60,2,24,15,3,6/15/2019,6/20/2019,1626,6/11/2019,6,150
5,176,C7,M,4,ThalerLower,21,23,N,250,3,NA,6/10/2019,1643,19,16,1800,60,2,24,15,3,6/15/2019,6/20/2019,1626,6/11/2019,3,110
6,179,C7,M,5,ThalerRoomRight,21,21,Y,250,45,NA,6/10/2019,1916,16,15,1930,60,2,24,25,4,6/15/2019,6/20/2019,1625,6/11/2019,2,160
4,186,C7,M,8,ThalerWhiteNear,28,22,N,360,4,NA,6/10/2019,1717,14,14,1730,60,2,16,15,1,6/15/2019,6/20/2019,1625,6/11/2019,1,110
6,198,C7,F,2,Guterman57,30,27,N,170,14,NA,6/10/2019,2015,17,14,1330,60,2,16,15,1,6/15/2019,6/20/2019,1650,6/11/2019,0,60
6,200,C7,,5,ThalerRoomRight,32,21,N,86,6,FLIES,5/29/2019,1241,9,13,1252,60,1,16,25,2,5/19/2019,5/24/2019,1241,5/19/2019,1,93
6,205,C7,M,6,ThalerUpper,21,12,N,300,25,NA,6/10/2019,1621,18,14,1830,60,2,24,15,3,6/15/2019,6/20/2019,1626,6/11/2019,3,50
6,211,C7,M,1,Guterman56,19,22,Y,0,0,PRED DIED; FLIES,6/10/2019,1959,19,16,1230,60,2,16,25,2,6/15/2019,6/20/2019,1650,6/11/2019,0,0
4,212,C7,M,9,ThalerRoomLeft,28,21,N,150,36,NA,6/10/2019,1940,19,10,1900,60,2,16,25,4,6/15/2019,6/20/2019,1625,6/11/2019,1,100
6,220,C7,,9,ThalerRoomLeft,28,28,Y,0,0,PRED DIED,6/10/2019,1940,20,18,1900,60,2,16,25,4,6/15/2019,6/20/2019,1625,6/11/2019,0,7
4,222,C7,F,2,Guterman57,19,26,N,290,19,EGGS; lots of flies,6/10/2019,2015,11,16,1330,60,2,16,15,1,6/15/2019,6/20/2019,1650,6/11/2019,12,130
4,223,C7,F,5,ThalerRoomRight,14,17,Y,500,65,Pred died,6/10/2019,1916,13,20,1930,60,2,24,25,4,6/15/2019,6/20/2019,1625,6/11/2019,4,200
2,224,CMAC,M,4,ThalerLower,24,22,N,500,4,NA,6/10/2019,1643,15,9,1800,60,2,24,15,3,6/15/2019,6/20/2019,1626,6/11/2019,0,70
1,225,CMAC,F,9,ThalerRoomLeft,23,29,Y,6,0,Put HOBO 3 in this room,6/10/2019,1940,14,18,1900,60,2,16,25,4,6/15/2019,6/20/2019,1625,6/11/2019,1,60
1,230,CMAC,F,4,ThalerLower,27,31,N,270,3,eggs,6/10/2019,1643,20,17,1800,60,2,24,15,3,6/15/2019,6/20/2019,1626,6/11/2019,0,30
6,417,C7,,6,ThalerUpper,22,28,N,200,1,NA,5/29/2019,1204,16,9,1606,60,1,24,15,3,5/19/2019,5/24/2019,1204,5/19/2019,2,125
5,600,C7,,1,Guterman56,26,28,N,0,0,Pred still alive DAYS FIVE AND TEN,5/29/2019,144,10,11,1008,60,1,24,25,4,5/19/2019,5/24/2019,144,5/19/2019,0,0
3,F9,CMAC,,6,ThalerUpper,24,32,N,190,6,NA,5/29/2019,1204,9,12,1606,60,1,24,15,3,5/19/2019,5/24/2019,1204,5/19/2019,4,120
7,NA,control,NA,1,Guterman56,16,20,Y,100,7,NA,5/29/2019,144,13,12,1008,60,1,24,25,4,5/19/2019,5/24/2019,144,5/19/2019,2,116
8,NA,control,NA,1,Guterman56,29,32,N,50,14,NA,5/29/2019,144,7,8,1008,60,1,24,25,4,5/19/2019,5/24/2019,144,5/19/2019,0,82
9,NA,control,NA,1,Guterman56,16,18,N,91,0,NA,5/29/2019,144,8,11,1008,60,1,24,25,4,5/19/2019,5/24/2019,144,5/19/2019,0,71
7,NA,control,NA,2,Guterman57,28,20,N,500,28,NA,5/29/2019,157,15,10,913,60,1,24,15,3,5/19/2019,5/24/2019,157,5/19/2019,0,200
8,NA,control,NA,2,Guterman57,24,28,N,390,3,NA,5/29/2019,157,11,15,913,60,1,24,15,3,5/19/2019,5/24/2019,157,5/19/2019,0,150
9,NA,control,NA,2,Guterman57,27,24,N,300,10,NA,5/29/2019,157,12,12,913,60,1,24,15,3,5/19/2019,5/24/2019,157,5/19/2019,0,130
7,NA,control,NA,3,Powers,14,15,Y,0,0,Pred still alive,5/29/2019,1255,14,13,1225,60,1,24,25,4,5/19/2019,5/24/2019,1255,5/19/2019,0,0
8,NA,control,NA,3,Powers,11,13,Y,0,0,Pred still alive,5/29/2019,1255,10,11,1225,60,1,24,25,4,5/19/2019,5/24/2019,1255,5/19/2019,0,0
9,NA,control,NA,3,Powers,19,15,Y,0,0,Pred still alive,5/29/2019,1255,16,12,1225,60,1,24,25,4,5/19/2019,5/24/2019,1255,5/19/2019,0,0
7,NA,control,NA,4,ThalerLower,21,19,N,180,2,NA,5/29/2019,1215,8,6,1527,60,1,16,15,1,5/19/2019,5/24/2019,1215,5/19/2019,0,95
8,NA,control,NA,4,ThalerLower,27,19,N,290,0,NA,5/29/2019,1215,14,8,1527,60,1,16,15,1,5/19/2019,5/24/2019,1215,5/19/2019,0,100
9,NA,control,NA,4,ThalerLower,26,19,N,250,1,NA,5/29/2019,1215,16,12,1527,60,1,16,15,1,5/19/2019,5/24/2019,1215,5/19/2019,0,75
7,NA,control,NA,5,ThalerRoomRight,27,25,Y,190,22,NA,5/29/2019,1241,8,12,1252,60,1,16,25,2,5/19/2019,5/24/2019,1241,5/19/2019,2,150
8,NA,control,NA,5,ThalerRoomRight,26,17,N,270,21,NA,5/29/2019,1241,5,12,1252,60,1,16,25,2,5/19/2019,5/24/2019,1241,5/19/2019,5,225
9,NA,control,NA,5,ThalerRoomRight,22,22,Y,200,7,NA,5/29/2019,1241,12,15,1252,60,1,16,25,2,5/19/2019,5/24/2019,1241,5/19/2019,1,275
7,NA,control,NA,6,ThalerUpper,23,30,N,360,1,NA,5/29/2019,1204,9,13,1606,60,1,24,15,3,5/19/2019,5/24/2019,1204,5/19/2019,10,105
8,NA,control,NA,6,ThalerUpper,25,24,N,230,0,NA,5/29/2019,1204,12,10,1606,60,1,24,15,3,5/19/2019,5/24/2019,1204,5/19/2019,4,115
9,NA,control,NA,6,ThalerUpper,22,23,N,250,3,NA,5/29/2019,1204,13,11,1606,60,1,24,15,3,5/19/2019,5/24/2019,1204,5/19/2019,0,110
7,NA,control,NA,7,ThalerWhiteFar,31,31,N,230,0,NA,5/29/2019,1230,16,15,1426,60,1,16,15,1,5/19/2019,5/24/2019,1230,5/19/2019,5,110
8,NA,control,NA,7,ThalerWhiteFar,17,21,N,150,1,NA,5/29/2019,1230,11,14,1426,60,1,16,15,1,5/19/2019,5/24/2019,1230,5/19/2019,0,125
9,NA,control,NA,7,ThalerWhiteFar,21,25,N,250,4,NA,5/29/2019,1230,13,7,1426,60,1,16,15,1,5/19/2019,5/24/2019,1230,5/19/2019,0,130
7,NA,control,NA,8,ThalerWhiteNear,34,33,N,100,8,FLIES; MOLDY,5/29/2019,1230,18,10,1353,60,1,16,25,2,5/19/2019,5/24/2019,1230,5/19/2019,2,195
8,NA,control,NA,8,ThalerWhiteNear,22,28,Y,230,3,FLIES; MOLDY,5/29/2019,1230,8,15,1353,60,1,16,25,2,5/19/2019,5/24/2019,1230,5/19/2019,1,145
9,NA,control,NA,8,ThalerWhiteNear,30,26,Y,110,3,FLIES; MOLDY,5/29/2019,1230,9,7,1353,60,1,16,25,2,5/19/2019,5/24/2019,1230,5/19/2019,2,85
7,NA,control,NA,1,Guterman56,10,23,Y,21,11,FLIES,6/10/2019,1959,11,21,1230,60,2,16,25,2,6/15/2019,6/20/2019,1650,6/11/2019,17,42
8,NA,control,NA,1,Guterman56,14,27,Y,180,60,FLIES,6/10/2019,1959,10,22,1230,60,2,16,25,2,6/15/2019,6/20/2019,1650,6/11/2019,20,220
9,NA,control,NA,1,Guterman56,18,18,Y,180,3,FLIES,6/10/2019,1959,17,17,1230,60,2,16,25,2,6/15/2019,6/20/2019,1650,6/11/2019,19,80
7,NA,control,NA,2,Guterman57,28,28,N,500,200,NA,6/10/2019,2015,20,19,1330,60,2,16,15,1,6/15/2019,6/20/2019,1650,6/11/2019,1,400
8,NA,control,NA,2,Guterman57,24,5,N,500,15,NA,6/10/2019,2015,18,8,1330,60,2,16,15,1,6/15/2019,6/20/2019,1650,6/11/2019,1,200
9,NA,control,NA,2,Guterman57,31,31,Y,500,11,PLANT 1 DEAD,6/10/2019,2015,19,15,1330,60,2,16,15,1,6/15/2019,6/20/2019,1650,6/11/2019,1,270
7,NA,control,NA,9,ThalerRoomLeft,25,26,Y,240,2,NA,6/10/2019,1940,19,19,1900,60,2,16,25,4,6/15/2019,6/20/2019,1625,6/11/2019,3,260
8,NA,control,NA,9,ThalerRoomLeft,14,14,Y,360,100,NA,6/10/2019,1940,15,22,1900,60,2,16,25,4,6/15/2019,6/20/2019,1625,6/11/2019,11,160
9,NA,control,NA,9,ThalerRoomLeft,19,19,Y,270,100,NA,6/10/2019,1940,17,17,1900,60,2,16,25,4,6/15/2019,6/20/2019,1625,6/11/2019,15,300
7,NA,control,NA,4,ThalerLower,23,14,Y,420,33,NA,6/10/2019,1643,21,16,1800,60,2,24,15,3,6/15/2019,6/20/2019,1626,6/11/2019,1,180
8,NA,control,NA,4,ThalerLower,29,27,N,330,5,NA,6/10/2019,1643,20,20,1800,60,2,24,15,3,6/15/2019,6/20/2019,1626,6/11/2019,2,70
9,NA,control,NA,4,ThalerLower,19,19,N,400,38,NA,6/10/2019,1643,11,15,1800,60,2,24,15,3,6/15/2019,6/20/2019,1626,6/11/2019,1,150
7,NA,control,NA,5,ThalerRoomRight,19,25,Y,300,80,NA,6/10/2019,1916,18,21,1930,60,2,24,25,4,6/15/2019,6/20/2019,1625,6/11/2019,8,210
8,NA,control,NA,5,ThalerRoomRight,15,22,Y,450,100,NA,6/10/2019,1916,11,13,1930,60,2,24,25,4,6/15/2019,6/20/2019,1625,6/11/2019,2,190
9,NA,control,NA,5,ThalerRoomRight,25,19,Y,320,80,NA,6/10/2019,1916,18,16,1930,60,2,24,25,4,6/15/2019,6/20/2019,1625,6/11/2019,8,500
7,NA,control,NA,6,ThalerUpper,30,30,N,150,2,NA,6/10/2019,1621,10,16,1830,60,2,24,15,3,6/15/2019,6/20/2019,1626,6/11/2019,1,210
8,NA,control,NA,6,ThalerUpper,30,30,N,140,10,eggs,6/10/2019,1621,11,14,1830,60,2,24,15,3,6/15/2019,6/20/2019,1626,6/11/2019,3,190
9,NA,control,NA,6,ThalerUpper,27,22,N,400,14,NA,6/10/2019,1621,10,13,1830,60,2,24,15,3,6/15/2019,6/20/2019,1626,6/11/2019,15,220
7,NA,control,NA,7,ThalerWhiteFar,30,30,Y,45,5,FLIES,6/10/2019,1746,20,21,1627,60,2,24,25,2,6/15/2019,6/20/2019,1625,6/11/2019,1,130
8,NA,control,NA,7,ThalerWhiteFar,25,31,Y,90,27,FLIES,6/10/2019,1746,21,24,1627,60,2,24,25,2,6/15/2019,6/20/2019,1625,6/11/2019,2,500
9,NA,control,NA,7,ThalerWhiteFar,30,25,Y,400,40,FLIES,6/10/2019,1746,14,15,1627,60,2,24,25,2,6/15/2019,6/20/2019,1625,6/11/2019,7,300
7,NA,control,NA,8,ThalerWhiteNear,16,26,N,200,36,NA,6/10/2019,1717,7,15,1730,60,2,16,15,1,6/15/2019,6/20/2019,1625,6/11/2019,0,220
8,NA,control,NA,8,ThalerWhiteNear,27,25,N,300,42,NA,6/10/2019,1717,18,18,1730,60,2,16,15,1,6/15/2019,6/20/2019,1625,6/11/2019,2,180
9,NA,control,NA,8,ThalerWhiteNear,25,28,N,380,100,NA,6/10/2019,1717,12,19,1730,60,2,16,15,1,6/15/2019,6/20/2019,1625,6/11/2019,0,220
